id;lease_contract_number;rental_sequence_number;lease_rental_date;lease_rental_amount
1;Awesome;37740;2020-10-29;84482
2;Florida circuit Producer;42481;2020-10-30;39708
3;Credit Card Account Personal Loan Account lime;5469;2020-10-29;26025
4;Factors lime;70506;2020-10-29;49392
5;turquoise Dynamic South Dakota;57815;2020-10-29;39268
6;magenta;6020;2020-10-30;34296
7;strategic;42090;2020-10-30;79671
8;granular Sleek;62558;2020-10-29;7376
9;SMTP Assistant RSS;62619;2020-10-29;87260
10;Mall intranet USB;30798;2020-10-29;120
