id;leases_file_type_name;leases_file_medium_type;description;file_template;file_template_content_type;leasesfile_type
1;paradigms Mouse Danish Krone;JSON;transition;../fake-data/blob/hipster.png;image/png;CONTRACTUAL_LEASE_RENTAL
2;implement infrastructures FTP;EXCEL_XLS;Clothing Berkshire matrices;../fake-data/blob/hipster.png;image/png;LEASE_RENTAL
3;Avon firewall;TEXT;Hat Bedfordshire;../fake-data/blob/hipster.png;image/png;CONTRACTUAL_LEASE_RENTAL
4;Books;EXCEL;payment recontextualize;../fake-data/blob/hipster.png;image/png;CONTRACTUAL_LEASE_RENTAL
5;De-engineered International;DOC;Solutions EXE Buckinghamshire;../fake-data/blob/hipster.png;image/png;CURRENCY_LIST
6;Distributed repurpose;PDF;Dynamic;../fake-data/blob/hipster.png;image/png;LEASE_RENTAL
7;Fantastic;EXCEL_XLS;e-business user-facing;../fake-data/blob/hipster.png;image/png;CONTRACTUAL_LEASE_RENTAL
8;protocol alarm;EXCEL_XLSX;XSS Credit Card Account cross-platform;../fake-data/blob/hipster.png;image/png;CONTRACTUAL_LEASE_RENTAL
9;Malagasy Ariary;EXCEL_XML;New York Internal New York;../fake-data/blob/hipster.png;image/png;CURRENCY_LIST
10;optical payment;JSON;Electronics SDR Sausages;../fake-data/blob/hipster.png;image/png;CONTRACTUAL_LEASE_RENTAL
