id;description;file_name;period_from;period_to;leases_file_type_id;data_file;data_file_content_type;upload_successful;upload_processed;upload_token
1;Gorgeous;olive;2020-10-29;2020-10-30;11377;../fake-data/blob/hipster.png;image/png;false;false;infrastructures
2;Buckinghamshire UAE Dirham upward-trending;architectures;2020-10-29;2020-10-29;27719;../fake-data/blob/hipster.png;image/png;false;true;SSL Ergonomic Reactive
3;Organic deposit;withdrawal;2020-10-30;2020-10-29;76713;../fake-data/blob/hipster.png;image/png;true;true;Soft protocol e-services
4;Checking Account Self-enabling;PNG deposit cyan;2020-10-29;2020-10-30;15599;../fake-data/blob/hipster.png;image/png;false;false;Quality
5;AI Intelligent;Persistent;2020-10-29;2020-10-30;8376;../fake-data/blob/hipster.png;image/png;true;false;Tools
6;EXE bypassing Sleek Concrete Chips;input Soft Intelligent Frozen Bacon;2020-10-29;2020-10-29;26353;../fake-data/blob/hipster.png;image/png;false;true;paradigms scalable Greece
7;content Internal Money Market Account;Security;2020-10-29;2020-10-29;79882;../fake-data/blob/hipster.png;image/png;true;true;deposit Engineer
8;Developer Global;Agent;2020-10-30;2020-10-29;73472;../fake-data/blob/hipster.png;image/png;true;false;Kazakhstan global
9;Home Loan Account;Ball transform Ergonomic;2020-10-29;2020-10-29;67937;../fake-data/blob/hipster.png;image/png;true;true;e-business Refined Wooden Chips
10;Profound Cambridgeshire;FTP online;2020-10-29;2020-10-29;92039;../fake-data/blob/hipster.png;image/png;false;true;Implementation transmitter 24/7
